name,cost,qty,unit,density,each_qty,each_unit,code
haricot verts,46.4,24,lb,110,,,USF4332268
hawaiian round bread,5.99,1,ea,63,16,oz,
heavy cream,63.54,12,qt,240,,,USF8340978
hibiscus flower,69.18,96,oz,30,,,
honey,5.26,1,lb,339,,,USF3737327
hot beef sausage,25.45,5,lb,,3.2,oz,
hot dog roll,3.51,16,ea,,,,
hot sauce,17.81,1,gal,240,,,
jerk seasoning,16.41,25,oz,66.5,,,
jumbo lump crabmeat,207.22,12,lb,135,,,
ketchup,1.85,1,lb,274,,,USF7089724
lamb rack,17.78,1,lb,,,,USF2338325
leg of lamb,7.79,1,lb,,,,USF131847
lemon juice,11.43,1,gal,244,,,
"lemon, whole",18.1,8,lb,,0.0485,lb,
macadamia nuts,98.33,5,lb,133,,,USF9351123
mayonnaise,11.88,1,gal,240,,,
meatball,34.12,10,lb,144,1,oz,RDP960968
milk,23.42,4,gal,260,,,USF8350258
mini pie crust,9.98,14,ea,,,,Pillsbury
mixed greens,18.45,4,lb,30,,,USF6753252
molasses,24.76,1,gal,337,,,
mortons season-all,7.89,35,oz,,,,
"mushroom, cremini",16.89,5,lb,85,25,g,USF5733852
mustard,8.77,1,gal,249,,,USF4364063
"mustard, dijon",63.77,144,oz,249,,,
"mustard, dry",10.39,16,oz,101,,,
nutmeg,18.69,16,oz,112,,,USF760355
oats,0.31,1,oz,86,,,USF7724702
old bay,15.89,24,oz,122,,,
olive oil,24.53,3,L,216,,,
onion,16.83,25,lb,160,0.5,lb,
onion powder,9.4,20,oz,115,,,USF4353280
"onion, red",22.88,25,lb,160,10,oz,USF4326690
"onion, yellow",12.64,10,lb,,6.5,oz,
"oregano, dry",33.24,1,lb,86,,,
"oregano, fresh",7.85,4,oz,,,,
paprika,9.13,16,oz,110,,,USF5192174
"paprika, smoked",22.51,17,oz,110,,,
"parsley, dry",11.36,24,c,61,,,
"parsnip, fresh",33.21,20,lb,133,4,oz,USF502005
party wings,2.31,1,lb,,85,g,RDP77495
"pasta, spaghetti",28.61,20,lb,140,,,USF4327771
peanut oil,61.39,35,lb,216,,,
peanut sauce,3.61,1,lb,304,,,USF5224142
"pear, fresh",48.59,100,ea,161,178,g,USF4006573
peas,0.1,1,oz,120,,,
"peas, frozen",0.09,1,oz,120,,,USF4328456
"pecans, raw",64.79,5,lb,110,,,USF8349474
phyllo cup,17.96,90,ea,,,,USF1009473
pineapple chunks,43.75,16,lb,165,,,USF6437008
pineapple juice,58.57,552,oz,250,,,USF6327894
plum sauce,72.25,2,gal,305,,,USF8506297
poop,9000,69,blivet,0.577,,,
pork ribs,2.08,1,lb,,3,lb,USF8964335
"potato, red",45.36,50,lb,150,7.5,oz,USF2332211
"potato, russet",25.94,50,lb,,210,g,
ranch dressing,17.69,1,gal,254,,,USF7963028
red bell pepper,27.49,45,c,,,,
red pepper flakes,20.54,10,oz,124,,,USF4089178
red wine,56.47,192,floz,246,,,
relish,7.62,1,gal,,,,
ribeye,19.46,1,lb,239,32,oz,USF4402604
"rice, arborio",2.96,1,lb,202,,,USF2331486
"rolls, hawaiian",60.71,240,ea,,1,oz,2483824
"rosemary, dry",10.52,6,oz,58,,,USF760652
"rosemary, fresh",8.09,4,oz,29,0.5,g,USF6326334
"sage, fresh",8.41,4,oz,34,,,
"sage, ground",41.07,3,lb,34,,,USF6556643
salmon,7.69,1,lb,245,7,oz,USF4642583
salmon fillet,79,26,ea,245,6,oz,USF4987277
"salmon, wild",81.25,10,lb,175,6,oz,USF4987012
salt,0.05,1,tsp,511,,,
"sausage, breakfast",3.61,1,lb,202,,,USF5884751
scallion,11.25,2,lb,,0.5,oz,
sesame oil,55.94,60,oz,218,,,USF3174321
shallot,22.89,1,lb,160,50,g,
shrimp 21-25,87.31,10,lb,,0.04348,lb,
slider bun,61.19,200,ea,,1,oz,
slider patty,38.18,10,lb,,2,oz,
soy sauce,19.83,1,gal,288,,,
soybean oil,40.21,35,lb,218,,,
spinach,15.25,4,lb,,,,USF4425690
"squash, butternut",39.24,40,lb,,3.5,lb,
star anise,29.1,1,lb,152,0.2,g,USF6313999
sugar,27.34,25,lb,202,,,
sweet potato,26.2,40,lb,142,4.6,oz,USF271197
tabasco,34.44,48,floz,230,,,
"tea, black",28.94,150,ea,,,,USF2982790
test_ingr_2,1,1,g,100,2,oz,
"thyme, dry",40.26,33,oz,38,,,
tomato paste,0.09,1,oz,262,,,
"tomatoes, canned diced",0.05,1,oz,,,,
"turkey, whole",1.78,1,lb,,17.5,lb,
turmeric,13.57,16,oz,109,,,USF760769
vanilla extract,33.95,1,pt,208,,,USF761379
vegetable broth,58.12,384,floz,263,,,USF5919223
vegetable stock,3.89,2,lb,227,,,Swanson
"vinegar, apple cider",33.77,6,gal,242,,,USF9023805
"vinegar, balsamic",3.68,1,lb,259,,,USF3191582
"vinegar, red wine",12.31,1,gal,242,,,USF9328337
"vinegar, rice",11.84,1,gal,253,,,USF5445424
"vinegar, white wine",14.25,1,gal,242,,,USF5018536
"walnuts, raw",62.57,5,lb,30,,,USF2634442
water,0,1,c,235.9,,,
white rice,55.37,50,lb,205,,,
white wine,69.54,4,gal,246,,,
whiting,124.13,40,lb,,,,
worcestershire,15.6,1,gal,275,,,
"tomato, cherry",4.99,12,oz,,,,Target
marinara,1.18,1,lb,257,,,4352191
"cheese, mozzarella fresh",29.04,6,lb,225,,,USF4942603
arugula,11.26,2,lb,20,,,USF9546982
"arugula, 11oz",5.49,1,ea,20,,,Safeway
"pineapple chunks, frozen",45.25,20,lb,259,,,USF2210847
coconut cream,11.38,57,oz,240,,,RDP2540028
"lettuce, iceberg",0.08,1,oz,60,,,USF5326426
baked beans,0.07,1,oz,275,,,USF8056053
"corn,  kernel",0.09,2,oz,175,,,USF4217162
test_ingr_1,1,1,ea,,,,
creme fraiche,5.9,1,lb,237,,,8645090
"tarragon, fresh",7.94,4,oz,10,,,
"tarragon, dry",17.31,4,oz,30,,,USF760538
port wine,0.39,1,floz,250,,,Safeway
asparagus,0.32,1,oz,138,62.5,g,USF5705694
"parsley, fresh",0.32,1,oz,60,,,USF7326432
"cheese, gruyere shredded",68.12,10,lb,118,,,USF9204425
"gizzard, chicken",1.13,1,lb,145,40,g,USF4966768
"pepper, habanero",60.49,8,lb,240,17.5,g,USF8098287
"thyme, fresh",10.98,8,oz,41,0.0227272727272727,oz,
"pasta, macaroni",28.41,20,lb,116,,,USF9327651
"pasta, rigatoni",2.5,1,lb,59,,,Safeway
salad cream,99.04,149,oz,254,,,USF1069358
"tomato, large",0.12,1,oz,254,182,g,USF1331339
filet mignon (whole foods 6 oz),39.99,1,lb,259,6,oz,Whole Foods
filet mignon (whole foods 8 oz),39.99,1,lb,259,8,oz,Whole Foods
hazlenut,27.56,1,lb,122,1.41,g,USF2477895
"chocolate, bittersweet",11.5,1,lb,254,,,USF2938969
"chocolate, baking milk",11.47,1,lb,173,,,USF1050094
nutella,12.26,33,oz,313,,,RDP88506
cocoa powder,19.86,2.2,lb,125,,,RDP1080075
ground pork 80/20,2.66,1,lb,225,,,USF3718097
italian seasoning,9.73,6,oz,228,,,USF760314
tilapia,18.44,10,lb,,,,RDP2420347
black eyed peas,0.09,1,oz,275,,,USF128975
moi moi leaves,25,40,ea,,,,Etsy
tripe,5.32,1,lb,264,,,USF3511730
"goat, bone-in",5.79,1,lb,260,,,USF1250052
curry powder,24.73,1,lb,107,,,USF5449442
"crabmeat, super lump blue",30.96,1,lb,135,,,RDP1840053
"crabmeat, lump",12.16,1,lb,135,,,RDP77889
"dill, fresh",12.27,1,lb,9,,,USF7326358
celery,33.09,24,ea,123,2,oz,
"milk, evaporated",14.58,12,oz,266,,,RDP49521
